When: 2025-11-06 11:08:11 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:10:59	 6078	 2239	3316	-64	 90.35	 -1	3 	0
2025-11-06 11:11:00	 6113	 2239	3349	-64	 180.00	 -1	0 	0
2025-11-06 11:11:01	 6148	 2128	3360	-64	 132.54	 -1	2 	0
2025-11-06 11:11:02	 6183	 2121	3539	0	 130.78	 -1	4 	0
2025-11-06 11:11:04	 6252	 2061	3539	0	 192.30	 -7	-2 	0
2025-11-06 11:11:05	 6287	 1897	3523	0	 185.27	 -1	-1 	0
2025-11-06 11:11:06	 6328	 1860	3520	0	 185.27	 2	0 	0
2025-11-06 11:11:07	 6363	 2030	3536	0	 137.81	 1	0 	0
2025-11-06 11:11:08	 6398	 2045	3551	0	 90.35	 -1	0 	0
2025-11-06 11:11:09	 6433	 2059	3551	0	 106.17	 0	0 	0
2025-11-06 11:11:10	 6468	 1929	3551	0	 23.55	 4	0 	0
2025-11-06 11:11:11	 6503	 2063	3503	0	 25.31	 0	-1 	0
2025-11-06 11:11:13	 6563	 2028	3488	0	 55.20	 -4	-1 	0
2025-11-06 11:11:14	 6598	 2009	3551	0	 74.53	 1	1 	0
2025-11-06 11:11:15	 6633	 2089	3551	0	 41.13	 0	0 	0
2025-11-06 11:11:16	 6687	 2116	3541	0	 327.30	 3	-2 	0
2025-11-06 11:11:17	 6722	 2147	3525	0	 260.51	 0	-1 	0
2025-11-06 11:11:19	 6787	 2128	3584	-2	 300.94	 0	0 	0
2025-11-06 11:11:20	 6822	 2158	3584	-64	 316.76	 0	0 	0
2025-11-06 11:11:21	 6857	 2266	3564	-64	 337.85	 1	-3 	0
2025-11-06 11:11:22	 6892	 2346	3403	-64	 281.60	 2	-7 	0
2025-11-06 11:11:23	 6927	 2358	3296	-64	 246.45	 -1	0 	0
2025-11-06 11:11:27	 7049	 2309	3227	-64	 297.42	 1	-3 	0
2025-11-06 11:11:28	 7084	 2447	3216	-32	 334.34	 5	-1 	0
2025-11-06 11:11:29	 7119	 2628	3159	0	 272.81	 1	-1 	0
2025-11-06 11:11:30	 7154	 2567	3091	0	 204.26	 -6	-5 	0
