                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x78c069ef7010, 2000000 allocated for zone
Using /home/estudiante/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/estudiante/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM2.WAD
===========================================================================
                         DOOM 2: Hell on Earth
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Doom 1.9' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-06 18:39:14 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 18:42:34	 7198	 440	810	-72	 175.78	 -10	-2 	8
2025-11-06 18:42:35	 7233	 398	809	-72	 247.50	 0	-2 	8
2025-11-06 18:42:36	 7268	 413	755	-108	 208.12	 0	0 	8
2025-11-06 18:42:37	 7303	 476	684	-248	 298.12	 4	-11 	8
2025-11-06 18:42:38	 7338	 550	626	-248	 268.59	 1	-3 	8
2025-11-06 18:42:39	 7373	 542	566	-248	 262.97	 -1	-2 	8
2025-11-06 18:42:40	 7408	 524	482	-248	 248.91	 0	-1 	8
2025-11-06 18:42:41	 7443	 505	325	-176	 59.06	 -2	-7 	8
2025-11-06 18:42:42	 7478	 533	461	-36	 184.22	 1	5 	8
2025-11-06 18:42:43	 7513	 554	522	-8	 274.22	 -1	1 	8
2025-11-06 18:42:44	 7548	 548	435	-8	 264.38	 -1	-5 	8
2025-11-06 18:42:45	 7583	 538	320	-8	 267.19	 -1	-3 	8
2025-11-06 18:42:46	 7618	 618	316	-8	 265.78	 4	-3 	0
2025-11-06 18:42:47	 7653	 636	150	0	 0.00	 4	-2 	0
2025-11-06 18:42:48	 7688	 653	125	0	 254.53	 -1	-1 	0
2025-11-06 18:42:49	 7723	 547	-56	0	 223.59	 -5	-6 	0
2025-11-06 18:42:50	 7758	 356	-139	0	 194.06	 3	0 	0
2025-11-06 18:42:51	 7793	 445	-111	0	 30.94	 0	0 	0
2025-11-06 18:42:52	 7828	 636	-21	0	 26.72	 2	1 	0
2025-11-06 18:42:53	 7863	 721	24	0	 26.72	 3	1 	0
2025-11-06 18:42:54	 7898	 642	6	0	 12.66	 4	0 	0
2025-11-06 18:42:55	 7933	 878	-15	0	 146.25	 1	1 	0
2025-11-06 18:42:56	 7968	 571	26	0	 265.78	 -5	1 	0
2025-11-06 18:42:57	 8021	 -1024	-320	-96	 0.00	 0	0 	11
2025-11-06 18:42:58	 8056	 -862	-320	-96	 0.00	 1	0 	11
2025-11-06 18:42:59	 8091	 -878	-337	-96	 37.97	 -4	-3 	11
2025-11-06 18:43:00	 8126	 -936	-519	-96	 59.06	 5	-13 	11
2025-11-06 18:43:01	 8161	 -609	-536	-96	 23.91	 7	4 	11
2025-11-06 18:43:02	 8196	 -556	-608	-96	 14.06	 7	-8 	11
2025-11-06 18:43:03	 8231	 -289	-601	-96	 46.41	 -2	-4 	11
2025-11-06 18:43:04	 8266	 -521	-526	-96	 14.06	 2	7 	11
2025-11-06 18:43:05	 8301	 -475	-563	-96	 22.50	 6	-1 	11
2025-11-06 18:43:06	 8336	 -498	-693	-96	 91.41	 -2	-1 	11
2025-11-06 18:43:07	 8371	 -586	-557	-96	 9.84	 -8	-3 	11
2025-11-06 18:43:08	 8406	 -586	-594	-96	 333.28	 1	0 	11
2025-11-06 18:43:09	 8441	 -520	-464	-96	 98.44	 2	12 	11
2025-11-06 18:43:10	 8476	 -543	-35	-256	 236.25	 1	-1 	0
2025-11-06 18:43:11	 8511	 -656	-112	-256	 351.56	 -2	-1 	0
