                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x7e0a7bfa3010, 2000000 allocated for zone
Using /home/estudiante/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/estudiante/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM2.WAD
===========================================================================
                         DOOM 2: Hell on Earth
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Doom 1.9' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-07 10:35:27 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-07 10:38:07	 5918	 150	677	152	 207.62	 5	3 	5
2025-11-07 10:38:08	 5953	 132	651	152	 202.34	 -7	-3 	5
2025-11-07 10:38:10	 6042	 49	657	152	 163.67	 -4	1 	0
2025-11-07 10:38:11	 6077	 9	668	152	 190.04	 -1	0 	0
2025-11-07 10:38:12	 6112	 -48	653	152	 190.04	 0	-1 	0
2025-11-07 10:38:26	 6602	 23	667	152	 11.09	 2	0 	0
2025-11-07 10:38:27	 6637	 89	679	152	 11.09	 0	0 	5
2025-11-07 10:38:29	 6697	 10	663	152	 11.09	 -7	-2 	0
2025-11-07 10:38:32	 6781	 -9	679	152	 53.28	 0	0 	0
2025-11-07 10:38:34	 6866	 25	662	152	 327.15	 4	-3 	0
2025-11-07 10:38:35	 6901	 90	648	152	 11.09	 0	0 	5
2025-11-07 10:38:38	 7012	 53	648	152	 11.09	 -3	-1 	0
2025-11-07 10:38:48	 7342	 -8	648	152	 355.27	 5	-1 	0
2025-11-07 10:38:49	 7377	 99	648	152	 355.27	 0	0 	5
2025-11-07 10:38:50	 7436	 166	648	152	 355.27	 6	-1 	5
2025-11-07 10:38:51	 7471	 367	642	40	 355.27	 0	-1 	0
2025-11-07 10:38:52	 7506	 430	587	40	 12.85	 4	-2 	0
2025-11-07 10:38:53	 7541	 520	667	40	 65.58	 3	6 	0
2025-11-07 10:38:54	 7576	 688	883	47	 23.40	 6	4 	0
2025-11-07 10:38:56	 7623	 794	943	40	 321.87	 1	-1 	0
2025-11-07 10:38:57	 7658	 837	923	40	 341.21	 5	-2 	0
2025-11-07 10:38:58	 7693	 980	875	40	 357.03	 0	-1 	0
2025-11-07 10:39:01	 7794	 1010	871	40	 357.03	 4	-1 	0
2025-11-07 10:39:02	 7829	 1100	866	40	 357.03	 0	-1 	0
2025-11-07 10:39:05	 7943	 1044	911	40	 141.17	 -4	2 	0
2025-11-07 10:39:06	 7978	 1003	986	40	 84.92	 0	5 	0
2025-11-07 10:39:08	 8057	 993	1073	40	 107.77	 -2	5 	0
2025-11-07 10:39:09	 8101	 962	1185	40	 357.03	 1	-1 	0
2025-11-07 10:39:10	 8136	 1055	1151	40	 288.47	 0	-1 	0
2025-11-07 10:39:11	 8171	 1042	1089	40	 219.92	 -1	-1 	0
2025-11-07 10:39:12	 8206	 935	1092	40	 177.73	 -3	1 	0
2025-11-07 10:39:14	 8271	 922	1134	40	 51.17	 0	1 	0
2025-11-07 10:39:36	 8960	 1101	1966	0	 262.97	 -1	-4 	13
2025-11-07 10:39:37	 8995	 1098	1925	0	 271.76	 0	-4 	13
2025-11-07 10:39:38	 9030	 1098	1805	-24	 262.97	 -1	-3 	0
2025-11-07 10:39:39	 9074	 1080	1770	-24	 233.09	 -3	-4 	0
2025-11-07 10:39:40	 9109	 1088	1793	-24	 259.45	 1	2 	0
2025-11-07 10:39:41	 9144	 1032	1885	-16	 319.22	 -6	4 	0
2025-11-07 10:39:42	 9179	 871	2023	0	 17.23	 -1	0 	13
2025-11-07 10:39:48	 9377	 920	1989	0	 326.25	 5	-4 	13
2025-11-07 10:39:49	 9412	 997	1937	0	 305.16	 0	-1 	13
2025-11-07 10:39:50	 9458	 1001	1915	16	 277.03	 0	-1 	13
When: 2025-11-07 10:40:39 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-07 10:40:41	 11191	 -97	836	56	 90.00	 -1	2 	0
2025-11-07 10:40:42	 11226	 -85	917	8	 107.58	 0	0 	0
2025-11-07 10:40:44	 11312	 -83	943	8	 88.24	 0	4 	0
2025-11-07 10:40:45	 11347	 -62	1022	24	 56.60	 1	1 	0
2025-11-07 10:40:46	 11382	 -75	1068	24	 111.09	 -3	2 	0
2025-11-07 10:40:47	 11417	 -100	1096	24	 46.05	 -1	0 	0
2025-11-07 10:40:48	 11457	 -74	1142	40	 60.12	 0	0 	0
2025-11-07 10:40:49	 11492	 -51	1199	40	 68.91	 2	5 	0
2025-11-07 10:40:50	 11527	 -55	1428	56	 98.79	 -3	5 	0
2025-11-07 10:40:51	 11562	 3	1576	56	 12.66	 6	4 	0
2025-11-07 10:40:52	 11597	 171	1602	56	 49.57	 0	-1 	0
2025-11-07 10:40:53	 11632	 198	1637	56	 2.11	 0	0 	0
2025-11-07 10:40:54	 11667	 352	1576	56	 337.50	 7	-4 	0
2025-11-07 10:40:55	 11702	 431	1509	56	 14.41	 0	-1 	0
2025-11-07 10:40:56	 11737	 424	1541	56	 102.30	 -2	5 	0
2025-11-07 10:40:57	 11772	 364	1640	56	 181.41	 -6	0 	0
2025-11-07 10:40:58	 11807	 178	1668	56	 98.79	 -3	3 	0
2025-11-07 10:40:59	 11842	 150	1717	56	 91.76	 -1	0 	0
2025-11-07 10:41:01	 11897	 148	1775	56	 91.76	 -1	0 	0
2025-11-07 10:41:02	 11949	 151	1830	48	 84.73	 0	0 	0
2025-11-07 10:41:03	 11984	 144	1691	56	 84.73	 0	-6 	0
2025-11-07 10:41:04	 12019	 140	1636	56	 65.39	 -1	-1 	0
2025-11-07 10:41:06	 12074	 161	1702	56	 68.91	 0	2 	0
2025-11-07 10:41:07	 12109	 166	1731	56	 68.91	 0	0 	0
2025-11-07 10:41:08	 12162	 144	1772	56	 95.27	 -1	0 	0
2025-11-07 10:41:12	 12294	 144	1771	56	 77.70	 -1	-1 	0
2025-11-07 10:41:13	 12329	 144	1659	56	 77.70	 0	-2 	0
2025-11-07 10:41:20	 12556	 144	1650	56	 82.62	 0	2 	0
2025-11-07 10:41:21	 12591	 166	1826	54	 98.44	 0	2 	0
2025-11-07 10:41:22	 12626	 169	1853	48	 72.07	 0	1 	0
2025-11-07 10:41:23	 12661	 237	2064	48	 77.34	 2	6 	0
2025-11-07 10:41:24	 12696	 228	2204	48	 72.07	 -1	1 	0
2025-11-07 10:41:25	 12738	 222	2221	48	 42.19	 1	1 	0
2025-11-07 10:41:26	 12773	 239	2266	48	 42.19	 0	2 	0
2025-11-07 10:41:27	 12808	 237	2352	48	 107.23	 -2	3 	0
2025-11-07 10:41:28	 12843	 168	2579	48	 123.05	 -2	4 	0
2025-11-07 10:41:34	 13056	 159	2595	48	 263.67	 -1	-2 	0
2025-11-07 10:41:35	 13093	 155	2577	48	 247.85	 -2	-4 	0
2025-11-07 10:41:36	 13128	 142	2546	48	 277.73	 -1	-1 	0
2025-11-07 10:41:37	 13163	 167	2448	48	 226.76	 -1	0 	0
2025-11-07 10:41:38	 13198	 150	2449	48	 253.12	 -1	-4 	0
2025-11-07 10:41:39	 13233	 144	2408	48	 253.12	 0	-1 	0
2025-11-07 10:41:42	 13336	 173	2531	48	 29.88	 0	2 	0
2025-11-07 10:41:43	 13371	 344	2550	48	 358.24	 7	-1 	0
2025-11-07 10:41:44	 13406	 617	2543	48	 17.58	 4	-1 	0
2025-11-07 10:41:46	 13481	 623	2671	48	 193.36	 -2	-1 	0
2025-11-07 10:41:47	 13516	 480	2631	48	 205.66	 0	-1 	0
2025-11-07 10:41:48	 13551	 376	2510	48	 223.24	 -6	-6 	0
2025-11-07 10:41:49	 13586	 328	2393	48	 305.86	 3	-6 	3
2025-11-07 10:41:50	 13621	 348	2209	48	 240.82	 -3	-8 	0
2025-11-07 10:41:51	 13656	 218	1956	48	 240.82	 -5	-8 	0
2025-11-07 10:41:52	 13691	 183	1693	56	 305.86	 3	-8 	0
2025-11-07 10:41:53	 13726	 266	1557	56	 28.48	 0	-1 	0
2025-11-07 10:41:54	 13761	 450	1647	56	 28.48	 2	0 	0
2025-11-07 10:41:55	 13796	 623	1681	56	 24.96	 6	3 	0
2025-11-07 10:41:56	 13831	 709	1624	56	 312.89	 4	-5 	0
2025-11-07 10:41:57	 13869	 705	1573	56	 212.70	 -4	-3 	0
2025-11-07 10:41:58	 13904	 572	1507	56	 186.33	 -1	0 	0
2025-11-07 10:42:00	 13949	 582	1559	56	 73.83	 1	5 	0
2025-11-07 10:42:03	 14084	 581	1686	56	 207.42	 -6	-3 	0
2025-11-07 10:42:04	 14119	 389	1565	56	 223.24	 -5	-3 	0
